country,latitude,longitude
United States,39.7837304,-100.445882
United Kingdom,54.7023545,-3.2765753
Israel,31.5313113,34.8667654
Canada,61.0666922,-107.991707
Germany,51.0834196,10.4234469
Sweden,59.6749712,14.5208584
China,35.000074,104.999927
Switzerland,46.7985624,8.2319736
Australia,-24.7761086,134.755
Singapore,1.357107,103.8194992
The Netherlands,52.24764975,5.541246849406163
France,46.603354,1.8883335
Estonia,58.71971295,24.507544106789936
Finland,63.2467777,25.9209164
Spain,39.3260685,-4.8379791
Lithuania,55.3500003,23.7499997
Russia,64.6863136,97.7453061
Ireland,52.865196,-7.9794599
South Korea,36.638392,127.6961188
India,22.3511148,78.6677428
Japan,36.5748441,139.2394179
Denmark,55.670249,10.3333283
Belgium,50.6402809,4.6667145
Brazil,-10.3333333,-53.2
United Arab Emirates,24.0002488,53.9994829
Taiwan,23.9739374,120.9820179
Portugal,40.0332629,-7.8896263
Austria,47.59397,14.12456
Italy,42.6384261,12.674297
Poland,52.215933,19.134422
Norway,60.5000209,9.0999715
Czechia,49.8167003,15.4749544
New Zealand,-41.5000831,172.8344077
Ukraine,49.4871968,31.2718321
Bulgaria,42.6073975,25.4856617
Chile,-31.7613365,-71.3187697
Croatia,45.5643442,17.0118954
Mexico,23.553556999999998,-102.26751579375113
Argentina,-34.9964963,-64.9672817
Malaysia,4.5693754,102.2656823
Romania,45.9852129,24.6859225
Latvia,56.8406494,24.7537645
Luxembourg,49.8158683,6.1296751
Turkey,38.9597594,34.9249653
Indonesia,-2.4833826,117.8902853
Slovenia,45.8133113,14.4808369
Colombia,4.099917,-72.9088133
South Africa,-28.8166236,24.991639
Hungary,47.1817585,19.5060937
Thailand,14.8971921,100.83273
Uruguay,-32.8755548,-56.0201525
Philippines,12.7503486,122.7312101
Serbia,44.1534121,20.55144
Greece,38.9953683,21.9877132
Iceland,64.9841821,-18.1059013
Slovakia,48.7411522,19.4528646
Cyprus,34.9823018,33.1451285
North Macedonia,41.6171214,21.7168387
Vietnam,13.2904027,108.4265113
Malta,35.8885993,14.4476911
Kenya,1.4419683,38.4313975
Peru,-6.8699697,-75.0458515
Nigeria,9.6000359,7.9999721
Jordan,31.1667049,36.941628
Armenia,40.7696272,44.6736646
Bahrain,26.1551249,50.5344606
Belarus,53.4250605,27.6971358
Liechtenstein,47.1416307,9.5531527
Rwanda,-1.9646631,30.0644358
Egypt,26.2540493,29.2675469
Saudi Arabia,25.6242618,42.3528328
Costa Rica,10.2735633,-84.0739102
Mauritius,-20.2759451,57.5703566
Lebanon,33.8750629,35.843409
Pakistan,30.3308401,71.247499
Kazakhstan,47.2286086,65.2093197
Moldova,47.2879608,28.5670941
Albania,41.000028,19.9999619
Jamaica,18.1850507,-77.3947693
Georgia,32.3293809,-83.1137366
Ghana,8.0300284,-1.0800271
Tunisia,33.8439408,9.400138
Panama,8.559559,-81.1308434
Qatar,25.3336984,51.2295295
Bosnia and Herzegovina,44.3053476,17.5961467
Ecuador,-1.3397668,-79.3666965
Cape Verde,16.0000552,-24.0083947
Mongolia,46.8250388,103.8499736
Azerbaijan,40.3936294,47.7872508
Kuwait,29.2733964,47.4979476
Paraguay,-23.3165935,-58.1693445
Sri Lanka,7.5554942,80.7137847
Bangladesh,23.5031022,90.00386523825051
Somalia,8.3676771,49.083416
Morocco,31.1728205,-7.3362482
Dominican Republic,19.28131815,-70.035906834967
Uganda,1.5333554,32.2166578
Nepal,28.1083929,84.0917139
Namibia,-23.2335499,17.3231107
Ethiopia,10.2116702,38.6521203
